Cuatro rosas (RDL 4),GABINETE CALIGARI,1900,1984,Madrid,movida madrileña,rock,-,-,-,-,-,-,-,-,-,-,-
Blues de la frontera (RDL 39),PATA NEGRA,1900,1980s,1988,blues-rock,flamenco,flamenco-rock,nuevo flamenco,Sevilla,-,-,-,-,-,-,-,-
Isle Of Dogs,TIGERCATS,1900,2012,indie rock,Inglaterra,pop-rock,siglo XXI,-,-,-,-,-,-,-,-,-,-
R.I.P,ACTRESS,1900,2012,ambient,electrónica,glitch music,Inglaterra,minimal techno,siglo XXI,-,-,-,-,-,-,-,-
Clandestino,MANU CHAO,1900,1990s,1998,folk,Francia,mestizaje,pop,pop-folk,worldbeat,-,-,-,-,-,-,-
Tucson,GIANT GIANT SAND,1900,2012,americana,country-rock,Estados Unidos,roots rock,siglo XXI,-,-,-,-,-,-,-,-,-
awE naturalE,THEESatisfaction,1900,2012,conscious hip hop,Estados Unidos,hip hop,neosoul,R&B,siglo XXI,-,-,-,-,-,-,-,-
La leyenda del espacio,LOS PLANETAS,1900,2007,flamenco-rock,Granada,pop,rock,rock psicodélico,siglo XXI,-,-,-,-,-,-,-,-
Actos inexplicables,NACHO VEGAS,1900,2000s,2001,folk-rock,rock,Xixón,-,-,-,-,-,-,-,-,-,-
Blue Lines,MASSIVE ATTACK,1900,1990s,1991,Inglaterra,trip hop,-,-,-,-,-,-,-,-,-,-,-
Queen Of Denmark,JOHN GRANT,1900,2010,2010s,Estados Unidos,folk-rock,soft rock,-,-,-,-,-,-,-,-,-,-
Dedication,ZOMBY,1900,2011,dubstep,electrónica,Inglaterra,siglo XXI,UK garage,-,-,-,-,-,-,-,-,-
This Train,CHRYSTA BELL,1900,ambient pop,art rock,Estados Unidos,pop,siglo XXI,-,-,-,-,-,-,-,-,-,-
69 Love Songs,THE MAGNETIC FIELDS,1900,1990s,1999,Estados Unidos,indie pop,lo-fi,pop,synthpop,-,-,-,-,-,-,-,-
Introspective,PET SHOP BOYS,1900,1988,dance-pop,house,Inglaterra,pop,synthpop,-,-,-,-,-,-,-,-,-
La leyenda del tiempo,CAMARÓN,1900,1970s,1979,flamenco,flamenco-rock,San Fernando,-,-,-,-,-,-,-,-,-,-
